Wahlkreisnummer,% SPD,% CDU,% Grüne,% FDP,% AfD,% Linke
122,"24,0950597818946%","22,7179411378268%","6,52345289712259%","3,02358428590198%","24,6616738930495%","9,43125082117987%"
123,"18,5831212108567%","38,8067887140907%","10,4745780898843%","4,21463019153616%","14,8310869215316%","6,34042527824309%"
124,"23,1120596292285%","29,2737465757788%","8,3863158565331%","3,45416321590113%","20,8766006243231%","6,69682104860802%"
125,"17,3781606584305%","42,3727727587794%","10,6604691258788%","4,40992305496823%","13,2973363389076%","5,45080701999639%"
126,"17,8965315147317%","40,1903848544586%","13,5217054125893%","4,28069926178509%","12,5946448339756%","5,4587647480183%"
127,"22,1509724980113%","33,1238348544745%","12,0859368832699%","3,99079421176956%","15,1561522719958%","6,44344451933762%"
128,"18,0660447923252%","25,7273565193053%","26,6133585557588%","4,64668497222799%","6,85734691612418%","12,5116420474561%"
129,"18,597937437117%","36,6390743620232%","11,2703512302204%","4,07767767309979%","15,9808606969725%","6,25743162901308%"
130,"18,1129847260034%","33,3948194867561%","11,5947557362401%","4,42961577250472%","18,3465624363148%","6,39595340986879%"
131,"20,3383514301321%","23,3374682859345%","16,5260272294286%","4,16966578352247%","14,3661526052754%","13,1756946465126%"
132,"21,4927489669078%","27,7677453663184%","9,69832600290263%","4,12572150271983%","21,2883462769906%","7,12030400053178%"
133,"22,1459836015042%","27,4915233339498%","9,48091979532705%","4,18284939276247%","21,7508168423648%","6,63399297207324%"
134,"20,9125747842629%","27,1313170301343%","10,6117835185134%","4,2529844779576%","21,789859667503%","6,79551156571366%"
135,"16,9993606592314%","36,4232435888329%","8,33700362293102%","4,31626056688215%","20,6464445549478%","5,61483270583221%"
136,"13,7526663599481%","37,3201514074198%","11,5008992429629%","4,20814337697102%","18,9426575766448%","7,084675226902%"
137,"21,4065637899116%","28,3772380273306%","8,79707461944541%","3,85755123667977%","20,8760441947027%","7,80602999954209%"
138,"23,7466646954048%","27,3188727198485%","12,5407452777719%","4,07417576615203%","16,7648777465661%","7,50417133081293%"
139,"24,2020867790191%","23,5282182448676%","14,8939702292752%","3,65340039227019%","13,8235276034013%","12,0829055046943%"
140,"25,8525651288854%","22,7503183062297%","8,9346843240853%","2,96806263961636%","20,9304453237575%","9,58806980627159%"
141,"23,0165050609441%","22,0955044226268%","15,3074561536825%","3,59463813489772%","15,7165871303079%","11,8295388917596%"
142,"24,4699589014287%","23,5018592210842%","11,2799269358732%","3,52599647726531%","18,0031313197208%","10,1617848522409%"
143,"24,6883287005975%","27,3772324994409%","10,3996932809355%","3,47359340554011%","18,7935716796064%","7,20086903734944%"
144,"23,1475130542526%","28,3553854323392%","8,17328967165236%","3,37363926011151%","21,07266129746%","7,49236658111337%"
145,"18,3854537777426%","35,0249386430211%","10,0493494840736%","4,05404692159502%","18,9074499247882%","6,11036339165545%"
146,"16,3678113313274%","43,6192761691294%","7,3247980899246%","3,83659597276194%","16,6827057777345%","5,34406938641264%"
147,"19,9227323561249%","31,5571343990527%","8,57479472044303%","3,963854052664%","20,2767760494226%","7,23576798177154%"
148,"16,4429137375467%","38,8874170553334%","7,21903553143118%","3,95300264313924%","20,5098979095172%","5,48343571133716%"
149,"18,2640358602921%","34,0363861028223%","7,51580718520369%","3,96132662048296%","21,3439722371932%","6,76061151788414%"
905,"20,0310443788497%","30,1238402417274%","12,3595599557155%","4,39542649300841%","16,8144891249192%","8,33263582604545%"
150,"8,37881576442216%","20,760614330139%","3,41752871739544%","3,18271244526242%","42,7659135622263%","7,997239322206%"
151,"10,0845387528485%","17,4334537386676%","10,7905766887258%","3,18372833933538%","25,294410168695%","21,0461602356374%"
152,"11,2329047789786%","15,7516775085796%","16,2459662961635%","3,13937407160785%","18,6569687035804%","23,9164062900169%"
153,"8,82437162876862%","22,2637143007416%","4,59860796998545%","3,41871351180771%","38,4760134878475%","8,75716614947667%"
154,"7,05654194242118%","19,9580127753811%","4,56291043152114%","3,78845095303319%","43,6225502118563%","7,8316414700649%"
155,"6,45894291228289%","20,039843117724%","2,92037601942352%","3,1139886696134%","46,0150656788894%","7,76255992031377%"
156,"6,37545961256123%","19,7526212532644%","3,35143632985565%","2,9129367131368%","46,6784466069874%","7,73058583548794%"
